pair_id,gloss,pkd,branch_attestation_count,attested_branches,lexibank_concept_id,lexibank_concept_name,lexibank_concepticon_gloss,lexibank_tai_kadai_language_count,lexibank_austronesian_language_count,lexibank_sample_forms,low_branch_attestation,low_lexibank_attestation,coverage_gap,unjustified_pkd,unjustified_pan,included_in_permutation_test,attestation_score,attestation_score_reasoning,pan_attestation_score,pan_attestation_score_reasoning,cherry_pick_risk
001_1sg,1sg,*aku,6,"PT,PH,POB,PK,PKS,LAK",i,I,I,73,904,Sandong:ju² | Zhonghe:ʔai² | Tangzhou:ʔje² | Tingpai:ʁai² | Antang:ʔai²,0,0,0,0,0,1,4,"The PKD *aku is robustly reflected in most Tai languages and in some other branches (Buyang, La Chí), often as 'ku' or similar. However, Kra forms rarely match this root, and Kam-Sui, Hlai, and others often have roots involving j-, h-, or a-vowel, suggesting substantial replacement or divergence there. The attestation is strong in Tai proper and Buyang, but poorly evidenced elsewhere, so not a full 5.",5,"The shape *aku and its variants (yak-, kak-, aku, aʔu, etc.) are robustly and widely attested among Formosan, Western Malayo-Polynesian, SHWNG, and Oceanic clades. Irregular or innovative forms appear as expected for a pronominal paradigm but are outweighed by the strong cross-branch support. The core vowels and initial k-/a-/y-/ʔ- are consistent with the reconstruction. Overall, the evidence is very strong for *aku as the proto-form.",0
002_2sg,2sg,*-məː,6,"PT,PH,POB,PK,PKS,LAK",you,YOU,YOU,60,836,Sandong:ȶin¹ saːu¹ | Zhonghe:ȶən¹ saːu¹ | Tangzhou:ȶən¹ saːu¹ | Tingpai:ȶan¹ siau¹ | Antang:ȶən¹ siau¹,0,0,0,0,0,1,2,"Attested forms for '2sg' are overwhelmingly based on 'su-', 'saːu', or 'cau' roots, with little evidence for the PKD *məː root outside a few isolated reflexes. Even the Proto-Tai *maɯ̯ does not align with the main bulk of contemporary data. The proposed PKD form seems at best marginally retained, and probably is not the main etymon for '2sg' across modern branches.",4,"There is strong support for *-mu (or *mu) as a 2sg marker across Formosan, Western MP, SHWNG, and Oceanic languages, especially in expected pronominal slots. However, a portion of Oceanic and western MP languages instead use reflexes of *kamu (2PL), *kayo (2PL), or innovative forms, reflecting common pronoun analogy and replacement. The widespread retention of *mu/*-mu, especially as a pronominal clitic or affix, securely supports the PAN reconstruction, although analogical innovation is significant enough for a score of 4 rather than 5.",1
003_afraid_fear,afraid; fear,*C-laːw,5,"PT,PH,PK,PKS,LAK",fearbeafraid,FEAR (BE AFRAID),FEAR (BE AFRAID),34,891,Sandong:ho¹ | Zhonghe:ho¹ | Tangzhou:ho¹ | Tingpai:ho¹ | Antang:ho¹,0,0,0,0,0,1,4,"The expected laːu-type shape for 'afraid, fear' is robustly and systematically found across numerous Tai languages, with only a secondary cluster in certain Northern Zhuang branches showing ho-/qʰo-. The majority pattern aligns with the PKD/PT reconstruction, though the presence of an alternative root in some branches suggests possible replacement or lexical innovation.",4,"Reflexes of *talaw (and its reduced forms *taku/*takuʔ, *dálaʔ) are widely reflected in Western Malayo-Polynesian and Oceanic, and present in some SHWNG languages. Only one sampled Formosan language matches directly (Amis), while most others have unrelated etyma. Overall, there is strong support in Malayo-Polynesian but weak support in Formosan, resulting in a score of 4.",0
004_ant,ant,*Vmu2c,6,"PT,PH,POB,PK,PKS,LAK",ant,ANT,ANT,61,13,Sandong:mət⁸ | Zhonghe:mət⁸ | Tangzhou:mət⁸ | Tingpai:mət⁸ | Antang:mət⁸,0,0,0,0,1,0,5,"The reflexes for 'ant' are exceptionally consistent, showing minimal variation in the initial, medial, and coda across the entire family; 'mot', 'mət', 'mɐt', etc. are omnipresent. This strongly confirms both the PKD and PT reconstructions as grounded in extensive, regular attestation.",1,"There is no evidence for either *alujah or *aNay in any of the sampled languages. The forms are highly divergent and appear to be largely unrelated. No reflex is even distantly reminiscent of either proposed PAN root, warranting the lowest score.",1
005_arm,arm,*qeːn,5,"PT,PH,POB,PKS,LAK",arm,ARM,ARM,41,88,Sandong:ȶʰin¹ | Zhonghe:ȶʰin¹ | Tangzhou:ȶʰin¹ | Tingpai:ȶʰin¹ | Antang:ȶʰin¹,0,0,0,0,0,1,5,"The PKD reconstruction *qeːn and PT *qeːnᴬ are strongly supported by the core Tai languages, especially Central and Southwestern Tai (Thai, Shan, Lü, etc.) and by Northern Tai, which all show a reflex with an initial k-/q-/ɕ- and vowel quality compatible with *qeːn. Divergent forms outside Tai proper (e.g., Mulam, Buyang, Kelao) either reflect unrelated roots or compounding, but the cross-branch support for the *qeːn-type root is robust.",2,"The reflexes for 'arm' in this sample almost exclusively show Oceanic forms innovated from 'lima' (hand/five), suggesting semantic shift or avoidance of inherited PAN roots. Neither *baRa nor *ləŋən receives clear or widespread support outside of a few Oceanic forms ('aba', 'amba-na') that only possibly reflect the PMP form. There is no support from Formosan or broad Malayo-Polynesian data, leading to a low but non-minimal score.",1
006_bathe,bathe,*aːp,4,"PT,PH,PK,PKS",bathe,BATHE,BATHE,41,86,Sandong:ʔaːp⁷ | Zhonghe:ʔaːp⁷ | Tangzhou:ʔaːp⁷ | Tingpai:ʔaːp⁷ | Antang:ʔaːp⁷,0,0,0,0,1,0,5,"Among both Southwestern and Northern/central Tai languages, the reflex ʔa:p/ʔaːp is regular and dominant, matching *aːp or *ʔaːp for 'bathe.' Other branch reflexes diverge, but only in a minority. The PKD reconstruction is well supported by most data, especially in Tai and some Kam-Sui languages, indicating a solid etymon.",1,There is no compelling evidence for PAN *diRus in any sampled Austronesian clade; all attested forms for 'bathe' derive from different roots unrelated in shape to the proposed reconstruction. The possible Malagasy reflex is highly dubious and would not raise the score alone. This reconstruction receives the lowest score due to nearly total lack of support in the sample.,1
007_bear,bear,*Cumaj,5,"PT,PH,PK,PKS,LAK",bear,BEAR,BEAR,40,4,Sandong:ʔmi¹ | Zhonghe:ʔmi¹ | Tangzhou:ʔmi¹ | Tingpai:ʔmi¹ | Antang:ʔmi¹,0,0,0,0,1,0,2,"The PKD form *Cumaj is not supported by attested forms, which overwhelmingly point to a simple mV(-j) root ('mi', 'mi:', 'mje', 'mui') with no sign of any initial *C- or the -maj sequence. The PT form *ʰmwɯjᴬ fits attested forms much better. The PKD reconstruction thus appears to be either innovative or not reflected in Tai-Kadai branches sampled here.",1,"The attested forms reflect borrowings (from European sources: 'orsa' in Malagasy from French/Latin 'ours(a)', and 'pea' in Polynesian from English 'bear'), not an inherited Austronesian root. No form in the sample is related in shape to *Cumay, and the distribution is limited and consists entirely of borrowings. The reconstruction has no support in the lexibank sample.",1
008_big,big,*bəːk,6,"PT,PH,POB,PK,PKS,LAK",big,BIG,BIG,73,944,Sandong:laːu⁴ | Zhonghe:laːu⁴ | Tangzhou:laːu⁴ | Tingpai:laːu⁴ | Antang:laːu⁴,0,0,0,0,0,1,4,"There is robust support for *bəːk in northern and central Tai and Kadai languages, with bɯk/bɤk types widely attested. However, major Tai branches (including standard Thai, Lao, Shan, etc.) utilize laːu/jai/loŋ-type forms for 'big', reflecting widespread root replacement or synonymy, so the PKD form is robustly present but no longer dominant in all branches.",2,"The reflexes of 'big' are highly diverse across all clades, and no single root dominates, especially not *Raya. A small set of western_mp (rakoh, ragul, lahibé) and some Oceanic (lahi, lasi) forms are compatible with a development from *Raya, but these are not systematic or widespread given the overall diversity, particularly among Formosan forms. Thus, *Raya receives minimal but non-negligible support, and the dominant picture is replacement and innovation across the family.",1
009_bird_chicken,bird; chicken,*malok,6,"PT,PH,POB,PK,PKS,LAK",bird,BIRD,BIRD,73,956,Sandong:nok⁸ | Zhonghe:nok⁸ | Tangzhou:nok⁸ | Tingpai:nok⁸ | Antang:nok⁸,0,0,0,0,0,1,4,"Most Tai and Kam-Sui languages clearly point to a root with a *nok-type shape (Proto-Tai *C̬.nokᴰ), matching the second syllable of the proposed PKD. Some Buyang and Kelao forms suggest an initial syllable (ma-), but Tai overwhelmingly lacks the expected 'ma-' root. Hlai is highly aberrant. The reconstruction *malok is reasonable if considering Buyang and Kelao, but is poorly reflected in most of TK; a 4/5 reflects this partial support.",5,"There are widespread reflexes of *maNuk, matching or close (manu, manok, mani, man) in all major clades including representative Formosan, SHWNG, Western MP, and Oceanic, supporting inherited status. Some branches, especially Formosan, show lexically replaced forms or divergent shapes, but these do not negate the systematic, pan-Austronesian distribution of the 'manuk' type, particularly in Oceanic/SHWNG/Philippines, where it remains the basic word. Outlying forms and semantic shifts are expected in a meaning like 'bird/chicken'.",0
010_bitter,bitter,*CV-qəm,6,"PT,PH,POB,PK,PKS,LAK",bitter,BITTER,BITTER,61,14,Sandong:qam¹ | Zhonghe:qam¹ | Tangzhou:qam¹ | Tingpai:qam¹ | Antang:qam¹,0,0,0,0,0,1,5,"Nearly all major branches of Tai-Kadai show a reflex of *qəm~*kham, supporting the reconstruction very strongly, with only minor vowel or nasal variation and a few irregular non-Tai-Kadai forms. The shape conforms closely in Tai, Kam-Sui, and Buyang. These systematic correspondences justify the highest score.",2,"The only clear direct reflex of *paqit is in Javanese, with a possible cognate in Malagasy (mangidy). Oceanic and Formosan attested forms do not reflect *paqit at all, showing either unrelated roots or significant innovation/replacement. Thus, *paqit is poorly attested outside of parts of Western MP, and receives a low score for broad support.",1
