pair_id	gloss	pan	pkd	pt	pat	chinese_flag	notes	branch_attestation_count	attested_branches
015_buy_sell	buy/sell	*saliw	*aɭiːw	*p.qaːj	*saɭiw	N		6	PT,PH,POB,PK,PKS,LAK
057_leech	leech	*matək/*məCaq	(*tak)	*pliːŋᴬ	*matək	N		6	PT,PH,POB,PK,PKS,LAK
067_nest	nest	*Rubu	*aruːk			N		5	PH,POB,PK,PKS,LAK
072_otter	otter	*Sanaq	*anaːk	*naːkᴰ	*Sanaːq	N		5	PT,PH,POB,PK,PKS
075_pick_up_lift_take	pick up; lift; take	*saput; *piliq	*kep	*kepᴰ		N		3	PT,POB,PKS
077_plant	plant	*mula	*muɭaː	(*plwɯːkᴰ)	*muɭaː	N		4	PT,PH,PK,PKS
086_sharp	sharp	*tazəm	*C.cəmᴬ	*ɣɤmᴬ	*tazəm	P	Possible Chinese source	3	PT,PH,PKS
088_shrimp	shrimp	*qudaŋ; *kabus	*(q)udaːŋ	(*kuŋᴮꟲ)	*qudaːŋ	N		3	PT,PH,POB
089_sick	sick	*sakit	*keːt	*keːtᴰ	*sakeːt	P	Possible Chinese source	6	PT,PH,POB,PK,PKS,LAK
092_skinny	skinny	*Niwaŋ	*CV-roːm	*proːmᴬ		N		6	PT,PH,POB,PK,PKS,LAK
099_stomach	stomach	*biCuka; *tiaN	*amok	(*dwuːŋꟲ)		N		5	PT,PH,PK,PKS,LAK
106_tie_bundle	tie; bundle	*Sikət; *baluN; *bəjbəj	*CV-ruːk	*cm̩.rukᴰ		N		5	PT,PH,POB,PKS,LAK
108_to_taste	to taste	*taɲam	*ɟim	*ɟimᴬ		N		2	PT,PH
112_turtle	turtle	*qaCipa (soft-shell)	*C̥-(i)paːᴬ	*ʰwɯəᴬ	*(qa)Cipaː	N		3	PT,PH,PK
