study,item_id,gloss,form_summary,generosity,chinese_loan_plausibility,likely_direction,reasoning,prompt_version
study1,001_1sg,1sg,PAN *aku ~ PKD *aku,5,1,not_applicable,The first person singular pronoun *aku is a widespread Austronesian and Kra-Dai form not attested in relevant Sinitic languages; a Chinese loan is extremely unlikely here.,v1
study1,002_2sg,2sg,PAN *-Su; *-mu (plural) ~ PKD *-məː,5,1,not_applicable,"Second person pronouns of the shape *-su, *-mu, *-məː are independent innovations widely attested in Austronesian, Kra-Dai, and other families, with no compelling Sinitic comparanda; a loan pathway is not plausible.",v1
study1,003_afraid_fear,afraid; fear,PAN *talaw ~ PKD *C-laːw,5,2,not_applicable,"The resemblance in shape (*talaw ~ *C-laːw) is not suggested by early Chinese roots for 'fear' (e.g., 恐 OC *kʰruŋʔ), making a Sinitic loan improbable; more likely due to inheritance or contact.",v1
study1,009_bird_chicken,bird; chicken,PAN *maNuk ~ PKD *malok,4,2,not_applicable,"PAN *maNuk and PKD *malok both diverge from early Sinitic forms for 'chicken' (e.g., 鷄 OC *k(r)ei); additionally, bird terms are often archaic and regionally stable, so a loan is unlikely.",v1
study1,024_dark_black,dark; black,PAN *-dəm ~ PKD *(C̥V/m)-dam,5,2,not_applicable,"The 'dark; black' forms (*-dəm, *-dam) do not closely match known early Sinitic roots (e.g., 黑 OC *qʰˤˤmək or 玄 OC *ɡʷʰˤan); a Chinese loan is not a compelling hypothesis.",v1
study1,026_deep,deep,PAN *daləm ~ PKD *C-alək,4,1,not_applicable,PAN *daləm and PKD *C-alək have no plausible Sinitic comparator for 'deep'; this is highly unlikely to be due to Chinese influence.,v1
study1,027_die,die,PAN *(m/p-)aCay ~ PKD *p-ataːy,5,2,not_applicable,"Early Sinitic roots for 'die' (死 OC *sjəʔ, 亡 OC *maŋ) are not phonologically similar; resemblance is more plausibly due to internal inheritance or areal features.",v1
study1,029_drop_fall,drop; fall,PAN *-tuq ~ PKD *tok,5,2,not_applicable,"PAN *-tuq and PKD *tok for 'drop; fall' do not correspond well to known early Chinese verbs for 'fall' (e.g., 落 OC *râk); this is not suggestive of a Sinitic loan.",v1
study1,031_eat,eat,PAN *ka(ʔ)ən ~ PKD *(i-)kan,5,3,into_kra_dai,"Potential semantic and phonological alignment with Chinese OC *kʷanʔ ‘eat’ (MC kanX), but the form is also widespread in Austroasiatic and Austronesian, making inheritance or chance also possible.",v1
study1,033_excrement,excrement,PAN *Caqi; (PMP *taqay) ~ PKD *CV-q[i/aːj],4,1,not_applicable,No clear Old Chinese equivalent; phonological structure and semantics suggest native inheritance or nursery word origin.,v1
study1,035_fart,fart,PAN *qətut ~ PKD *k[a/ə]tu2t,5,1,not_applicable,"No relevant Chinese comparanda; likely a nursery or mimetic root, independently innovated.",v1
study1,037_fire,fire,PAN *Sapuy ~ PKD *apuy,4,2,not_applicable,"OC *pju ‘fire’ is not phonologically close; the similarity between Austronesian and Kra-Dai forms likely reflects inheritance or onomatopoeia, not a Chinese loan.",v1
