pair_id,gloss,pan,pkd,pan_len,pkd_len,abs_delta_len,pan_length_band,sca,ned,sca_hit,ned_hit
001_1sg,1sg,*aku,*aku,3,3,0,le3,0.0,0.0,1,1
002_2sg,2sg,*-Su; *-mu (plural),*-məː,12,3,9,10to19,0.8995951417004049,0.9166666666666666,0,0
003_afraid_fear,afraid; fear,*talaw,*C-laːw,5,5,0,5,0.3271794871794872,0.6,1,0
005_arm,arm,(PMP *baRa; *ləŋən),*qeːn,15,4,11,10to19,0.9107692307692308,0.9333333333333333,0,0
008_big,big,*Raya,*bəːk,4,4,0,4,0.8192307692307692,1.0,0,0
009_bird_chicken,bird; chicken,*maNuk,*malok,5,5,0,5,0.2749999999999999,0.4,1,1
010_bitter,bitter,*paqit,*CV-qəm,5,5,0,5,0.6144796380090498,0.8,0,0
011_blow,blow,*səyup,*h-ju(1/2)p,5,4,1,5,0.36410256410256403,0.6,1,0
013_body_hair,body hair,*bulu,*qupu1l,4,5,1,4,0.48351648351648346,0.6,0,0
016_carry_on_a_pole,carry on a pole,*pasaqaN,*ʈaːp,7,4,3,7to9,0.9634615384615385,0.8571428571428571,0,0
019_chest,chest,*daSdaS; *dəbdəb; *Rusuk (ribcage/sternum),*u2k,35,2,33,ge20,1.0726495726495726,0.9428571428571428,0,0
021_cold,cold,*ramig; *giŋgiŋ,*kVniːt,13,6,7,10to19,0.8005698005698005,0.9230769230769231,0,0
022_cook,cook,*[N/n]asu(k); *taNək; *-sak,*C̥V-ru(ː)ŋ,18,7,11,10to19,0.9,0.9444444444444444,0,0
023_cry,cry,*Caŋis,*tVŋi(j),5,5,0,5,0.6633484162895927,0.6,0,0
024_dark_black,dark; black,*-dəm,*(C̥V/m)-dam,3,7,4,le3,0.5365384615384615,0.7142857142857143,0,0
025_deaf,deaf,*Culi,*CV-lək,4,5,1,4,0.5302564102564102,0.6,0,0
026_deep,deep,*daləm,*C-alək,5,5,0,5,0.3500000000000001,0.4,1,1
027_die,die,*(m/p-)aCay,*p-ataːy,6,6,0,6,0.34065934065934067,0.5,1,0
029_drop_fall,drop; fall,*-tuq,*tok,3,3,0,le3,0.040000000000000036,0.6666666666666666,1,0
030_duck,duck,(PMP *ŋaRaq),*CV-bit,9,5,4,7to9,0.7892976588628763,1.0,0,0
031_eat,eat,*ka(ʔ)ən,*(i-)kan,5,4,1,5,0.4791208791208791,0.6,0,0
032_eight,eight,*walu,*C[lab]ɭuː,4,7,3,4,0.5980769230769232,0.7142857142857143,0,0
033_excrement,excrement,*Caqi; (PMP *taqay),*CV-q[i/aːj],14,7,7,10to19,0.7139601139601139,0.7142857142857143,0,0
034_eye,eye,*maCa,*m[a/ə]ʈaː,4,6,2,4,0.13333333333333341,0.5,1,0
