comparison_id,concept_id,generosity,shared_shape_notes,reasoning,n_tk_forms,n_an_forms,permutation_id,an_source_concept_id
001,eye,2,"Some shared syllable patterns like CV, CVC, reduplicated shapes (e.g., ta-, la-, ma-), and common onsets such as t/l/m, but no strongly recurrent and specific segmental patterns across both bags.","While both bags show frequent use of disyllabic forms starting with /t/, /l/, or /m/ and a tendency for CV or CVC patterns, these are typologically very common and not distinctive. No clear and consistent longer shared skeletons or regular correspondences recur widely across both, beyond one-syllable matches like 'ta' which are too short to be suggestive on their own. Isolated syllables overlap but without systemic alignment.",25,80,1,wide
002,ear,2,"Some overlap in CV patterns like ta-/ka-/sa-/pa-/a- and final -ay/-ai/-a/-i, but no recurrent multi-segmental shape matches or widespread patterns between both bags.","Both bags feature simple CV or CVC syllable structures with some similar onsets (t-, k-, s-, p-, a-). A few forms show rhyme overlaps like -ay/-ai or -a/-i finals, but these are very general phonological patterns and do not occur in systematically similar strings across both bags. No clear recurring shape is prominent in both lists to indicate promising hypothetical cognacy.",35,80,1,liver
003,fire,1,none noted,"Bag_a consists almost entirely of short monosyllabic forms with structures like (f/p/ph)(a/e/ə/u/i)(j/w), often ending in -ai, -ei, -ui, or similar. Bag_b, on the other hand, contains much longer and more varied polysyllabic forms, many with initial nasals, stops, or fricatives, and little resemblance to the monosyllabic patterns of bag_a. No widespread segmental, syllabic, or structural similarity is evident between the two bags, except for some isolated segments (e.g., 'f' or 'p'), which are common cross-linguistically.",21,80,1,egg
004,one,1,none noted,"The word-forms in bag_a are dominated by short, simple CVC or CVVC shapes (e.g., 'Ɂɗew', 'na:u', 'jit', 'nɨŋ'), with notable clusters around initial glottal or nasal sounds, and frequent close front and central vowels. Bag_b forms are frequently longer, polysyllabic, and have more complex consonant clusters and a broader syllable inventory. There is no recurring, widespread segmental pattern or skeleton found across both sets, and any accidental similarity is isolated. Hypothetical cognacy by shape appears highly unpromising.",29,80,1,hundred
005,nose,2,"Some instances of 'naŋ'/'nanum'-type nasal-initial forms in both bags; limited overlap in n...m and d...m/d...n shapes. However, full roots and segmental matches are weak, recurring patterns limited.","Both bags contain forms with initial nasals followed by a vowel and a nasal coda (e.g., 'naŋ' in bag_a vs. 'nanum', 'danum', 'nanom' in bag_b), hinting at a very basic similarity. There are also a few matching d-n-m patterns ('daŋ', 'danum'), but these are generally short or diverge in medial/coda consonants and the vowel patterns. Most other forms show sharp segmental divergence. Overall, only weak and isolated phonological similarities suggest possible distant hypothetical cognacy.",34,80,1,water
006,tongue,2,"Some -lVn/-lin/-len shapes in bag_a (lin, len, lɛn, lən, etc.) versus widespread -lan/-l(an)/-len/-lin and CV.CVn and CVn shapes in bag_b. Both bags have forms like lin, len, lɛn, but segmental similarity is limited and vowel/consonant correspondences are not systematic.","While both bags show some resemblance with recurring forms like lin/len in bag_a and lan/len/lin in bag_b, the overlap is mainly superficial (L-N sequence with varying vowels). The overall segmental structures and consonant inventories differ noticeably, and the similarities are insufficiently widespread or regular for a higher hypothetical cognacy score.",19,80,1,pathorroad
007,eat,2,"Some overlap in n-initial, k-initial, and CVC/nasal-final forms (e.g., 'kan', 'cin', 'kin', 'kɯn' in bag_a and 'kanoʔ', 'kaanani', 'ganí', 'kana', 'maniini', 'niana' in bag_b), as well as a few CVN forms, but the overall correspondence is sparse and inconsistent.","While there are some lookalike shapes—such as CVN syllable structures with nasals, and a few k/n/c/ initial forms across both sets—the links are mostly superficial and not systematically distributed. The forms largely diverge in their complexity, segment inventory, and patterning, with only a small scattering of vaguely similar surface patterns.",32,80,1,what
008,night,1,none noted,"Word-forms in bag_a and bag_b display notably different segmental patterns, with no clear widespread recurring consonant or vowel skeletons across both sets. While both bags utilize some similar CV and CVCV shapes, there are no recurrent or systematic shape similarities that would suggest promising hypothetical cognacy based on form alone. Apparent similarities are isolated, such as 'ham' (bag_a) and 'mamogaw' (bag_b), but these are not recurrent nor systematic across the bags.",38,80,1,fearbeafraid
009,blood,1,none noted,"There are no clear recurrent phonological shapes or segmental patterns shared widely across both bags. The items in bag_a are dominated by forms with /l-, p-, ph-, ɬ-/ and endings like -t, while bag_b is more diverse, often featuring initial b-, v-, n-, or k-, and does not exhibit parallel syllable structure or consonant cluster patterns. The segmental profiles do not suggest plausible widespread hypothetical cognancy.",31,80,1,sand
010,dog,3,"ma, mai, mã, maa, ma!, mata, manga/mangay, mai/mae, mwa/mʷẽ, mwa/ŋwa recurring; a range of mV, maC, and ram(a) forms appear in both bags, but regularly matching segmental shapes are not widespread.","Numerous forms in both bags feature strikingly similar shapes involving ma, mai, and related mV syllables, as well as multiple ram(a)/rama forms. However, outside of these clusters, overall segmental resemblance is more sporadic, and there's no strong evidence of widely recurrent segmental correspondences across both sets. This suggests some hypothetical cognacy potential, but not a high degree.",18,80,1,come
011,water,2,"Some overlap in VC(V)m/n sequences (e.g., nam, num, namə, neman) and widespread CVm/CVm/CnV shapes, but no strong, consistent, repeated pattern spanning both bags; more similarity within each bag than across.","Bag A shows heavy concentration of forms like nam/nam/m/nVm with only initial consonant or vowel variation, but this pattern is not notably recurring in Bag B, which shows greater variability and distinct sets like taba/tavi/sima/maiŋ, etc. A handful of segments—such as m, n, a—do appear in both, and a few forms like 'nemaiŋ', 'nanəma', and 'ñaman' in Bag B echo Bag A's 'nam', but these are isolated and could easily be accidental, not evincing broad regular shape patterns. There is not enough widespread or systematic recurrence of shared shapes to merit a higher generosity score.",24,80,1,fatorganicsubstance
