pair_id	gloss	pan	pkd	pt	pat	chinese_flag	notes	branch_attestation_count	attested_branches
004_ant	ant	*alujah; *aNay	*Vmu2c	*mɤcᴰ		N	Ind semut possibly introduced from MSEA	6	PT,PH,POB,PK,PKS,LAK
006_bathe	bathe	*diRus	*aːp	*ʔaːpᴰ		N		4	PT,PH,PK,PKS
007_bear	bear	*Cumay	*Cumaj	*ʰmwɯjᴬ	*ʈumay	N		5	PT,PH,PK,PKS,LAK
012_boat	boat	*luja	*C̬udaː	*C̬.rwɯəᴬ	*ɭujaː	N		5	PT,PH,PK,PKS,LAK
014_borrow	borrow	*Səzam	*Səzəːm	*ˀjɯːmᴬ	*Səzəːm	N		4	PT,POB,PKS,LAK
017_centipede	centipede	*qalu-Sipan	*CV-rip	*q.sipᴰ		N		4	PT,PH,POB,PKS
020_child1	child1	*aNak	*aləːk	*lɯːkᴰ	*aləːk	N		6	PT,PH,POB,PK,PKS,LAK
028_dream	dream	*S[ə/i]pi	*CV([+H])pan	*hwanᴬ		N		5	PT,PH,POB,PK,PKS
039_fish_poison	fish poison	*tuba	*C̥V[+H]baː	*C̥.bɯəᴬ	*tubaː	N		2	PT,PKS
043_forget	forget	*alim	*CV-ləːm	*lɯːmᴬ		N		5	PT,PH,PK,PKS,LAK
051_hook	hook	*kawit; *kabit	*C-bet	*ɓetᴰ	*kabet	N		2	PT,POB
052_hot_warm	hot; warm	*lasuq	*C-uluːl	*rwuːlꟲ		N		6	PT,PH,POB,PK,PKS,LAK
053_hungry	hungry	(PMP *lapaR)	*C-iaːk	*ˀjɯǝkᴰ		N		4	PT,PH,POB,PKS
054_knife	knife	*RabiS; *tadaw	*miːt	*mitᴰ		N		4	PT,PH,POB,PKS
058_leg	leg	*paqa	*paqaː	*p.qaːᴬ	*paqaː	N		6	PT,PH,POB,PK,PKS,LAK
067_nest	nest	*Rubu	*aruːk			N		5	PH,POB,PK,PKS,LAK
077_plant	plant	*mula	*muɭaː	(*plwɯːkᴰ)	*muɭaː	N		4	PT,PH,PK,PKS
079_rattan	rattan	*quay	*(q)uaːy	*C̥.waːj		N		3	PT,POB,PKS
080_raw_a_live	raw; (a)live	*qudip	*(q)udip	*C̥.dipᴰ	*qudip	N		5	PT,PH,POB,PK,PKS
085_shadow	shadow	*qaNiŋu; *liŋaw	*aŋ[u/aːw]	*ŋawᴬ	*[l/ɭ]iŋ[u/aːw]	N		3	PT,PH,POB
089_sick	sick	*sakit	*keːt	*keːtᴰ	*sakeːt	P	Possible Chinese source	6	PT,PH,POB,PK,PKS,LAK
092_skinny	skinny	*Niwaŋ	*CV-roːm	*proːmᴬ		N		6	PT,PH,POB,PK,PKS,LAK
095_sour	sour	*qa(R)səm	*qas[a/ə]m	*sɤmꟲ	*qa(R)s[a/ə]m	N		6	PT,PH,POB,PK,PKS,LAK
097_star	star	*qajaw	*adaːw	(*t.naːwᴬ)	*qajaw	N		6	PT,PH,POB,PK,PKS,LAK
103_taro	taro	*biRaq	*biRaːk	*prɯəkᴰ	*biRaːq	N		6	PT,PH,POB,PK,PKS,LAK
108_to_taste	to taste	*taɲam	*ɟim	*ɟimᴬ		N		2	PT,PH
112_turtle	turtle	*qaCipa (soft-shell)	*C̥-(i)paːᴬ	*ʰwɯəᴬ	*(qa)Cipaː	N		3	PT,PH,PK
