comparison_id,concept_id,generosity,shared_shape_notes,reasoning,n_tk_forms,n_an_forms,permutation_id
001,eye,4,"Striking recurrence of 'ma-ta' or 'ma-ta' variants (e.g., 'mata', 'ma:táʔ', 'maṭáʔ', 'máta', 'maˈta', 'maata', 'ma-ta', 'matah') in bag_b and a prominent cluster of 'ta', 'taa', 'tha', 'ta:', 't.aː', 'ta.¹', 'tha.²', and 'ma.⁰_ta.⁵⁴' in bag_a. Also, weaker but repeated 'lu(k)' and 'pla' (bag_a) with partial echoes like 'loziq', though these are less widespread.","Bag_b features a dense core of forms centering on 'ma-ta', which matches closely with the widespread presence of 'ta', 'taa', 'ta:', and related forms in bag_a—some even co-occurring with 'ma' as in 'ma.⁰_ta.⁵⁴'. This kind of widespread, segmentally similar structure across both bags is a strong indicator for hypothetical cognacy on shape alone, despite some divergent outliers.",25,80,0
002,ear,1,none noted,"The two bags do not show evident recurring segmental structures between them. Bag A frequently features forms with initial k-/q-/kh-/p-/b-/t-, with possible -a, -u, -ɤ, -ɯ, -ʔ, or nasal finals and clusters, but these are not matched in Bag B, which shows consistent -liŋa/-linga/-lina and similar patterns, as well as frequent presence of nasals -ŋ or -n and medial -li-. No widespread, plausible correspondences or shared skeletons are visible.",35,80,0
003,fire,3,"Shared presence of C(V)Vj/VVj (e.g., 'faj', 'pai', 'fei', 'fay', 'pui'/ 'apui', 'apuy', 'puy', 'afuy', 'hapuy'), recurring p/f initial and -j/y endings in both bags, and forms with pVj/pV(i)/pVj in both.","Both bags show recurring syllable shapes built around p/f + vowel + (j/y), notably high frequency of forms like 'faj', 'fei', 'pui', and similar 'apuy', 'apui', 'apóy', etc. in the second bag. Several bag_b items have additional prefixes or clusters, but the core p/f~faj/pui-type shape is common to both. However, the overall similarity weakens outside these clusters and many forms are unrelated in shape, so while promising especially for a subset, it does not indicate strong global similarity.",21,80,0
004,one,1,none noted,"The forms in bag_a are dominated by syllable structures like CVu, CVN, or CVC (e.g., de:u, nɨŋ, ʔit), with recurrent presence of nasal codas and ʔ-initial elements, while bag_b exhibits substantial diversity in cluster potential and word complexity (e.g., cacay, tatānu, sakabilóg), often with more polysyllabic and coda-rich items. No recurrent segmental shape appears to be widespread across both bags. Similarities (like initial ʔ, s, or n) are too isolated and structurally unsystematic to suggest promising hypothetical cognacy.",29,80,0
005,nose,4,"Widespread appearance of nasal-final syllables with -ŋ/-n, recurring initial na-/ŋa- in both sets; also some similar CVC structures such as naŋ, daŋ, mu(k/ŋ), and occasional tiŋ/ting forms.","Both bags show a strong pattern of forms ending in -ŋ or -n, with many items in both showing initial n- or ŋ- plus a vowel, and recurrent CVŋ or CVC nasal shapes. Some CVCV and CVCVC compounds also recur (e.g., naŋ, daŋ, muŋ, tiŋ), suggesting possible shape-level correspondences. These widespread recurring structures indicate moderately high promise for hypothetical cognacy based on shape alone.",34,80,0
006,tongue,2,"Possible weak overlap in CVN root forms: 'lin', 'len', 'lɛn' in bag_a versus 'lila', 'dila', 'lela', 'nelam', 'nelam-' in bag_b; also repeating 'ma' and 'me' syllables in both bags, but correspondences are inconsistent and not widely matched.","While both bags display recurring CVN forms with lateral or nasal elements (e.g., 'lin', 'len', 'lɛn' in bag_a; 'lila', 'dila', 'lela', 'nelam', 'mena' in bag_b) and some repeated 'ma', 'me' type syllables, the overlap is scattered and lacks strong, consistent recurrent correspondences across both sets. Most matches are superficial and restricted to a few items rather than being pervasive in both bags.",19,80,0
007,eat,4,"Extensive recurrence of 'kan', 'kən', 'kin', 'kɯn', 'ka:n', and similar CVN patterns in both bags, with a high frequency of 'k' + vowel + nasal coda sequences in each set.","Both bags display numerous forms following a 'kVn' template (e.g., ka:n, kɯn, kin, kən, kaqen, kuman, kanɔ), as well as related shapes, with nasal codas and back vowels recurring frequently. The spread of these patterns across multiple clades and items in each bag, with only minor differences in vowel or coda quality, is suggestive of a promising hypothetical relationship on a phonological basis.",32,80,0
008,night,1,none noted,"There is no clear pattern of shared segmental shapes across both bags. While nasals and labial sounds recur independently, the overall consonant-vowel structures and phonotactics differ, with no wide-spread or repeated forms aligning across the two sets. Similar-sounding items (such as 'nam' or 'ham' vs. 'nam', 'bam', etc.) appear to be coincidental rather than systematic.",38,80,0
009,blood,1,none noted,"Bag A is dominated by forms with initial lateral or voiceless/labial consonants followed by high/central vowels and a final -t or -t-like coda, while Bag B tends to display initial r/d/l and open syllables or nasals, with many medial glides/vowels and final -a or -k/ʔ sequences. No recurring root shape or pattern appears to be productively shared across both bags; similarities are limited to very broad typological tendencies.",31,80,0
010,dog,2,"Some repeated open syllables with medial liquids (e.g., 'li', 'ma', 'na', 'wa/ua'), and a few labial onsets, but no broad, systematic recurring shape or pattern between the bags.","Both sets show a prevalence of simple CV or CVCV forms, with some overlap in sequences like 'ma', 'li', 'na', and 'wa', but these are very basic shapes that could occur by chance. Recurring, more distinctive correspondences or patterns are not widely attested in both bags, making hypothetical cognacy not very promising based on shape alone.",18,80,0
011,water,4,"Widespread 'nam/num/nom' shapes (CVm, CVCm, CCVm) found in both bags; bag_b has multiple forms with 'nam', 'num', 'nom', 'nanum', 'zanum', 'lanum', 'danum', etc.; bag_a features many 'nam', 'nâm', 'nham', 'namʔ', 'na:m', 'nom', 'num', and similar forms.","There is a clearly recurring shape across both bags centered around 'n/m' or 'n/V/m' roots: monosyllabic or disyllabic forms like 'nam', 'num', 'nom', appearing with several initial variants (d-, z-, l-). This pattern is highly suggestive of a promising hypothetical relationship by segmental shape alone, with numerous multiply-attested matches in both sets.",24,80,0
012,tooth,1,none noted,"Bag A is dominated by CVn, CVC, and complex glides with forms such as 'fan', 'vjan', 'heːu', while Bag B shows widespread shapes in forms like 'nipin', 'liwon', 'alis', and 'wali'. There are no clear, recurrent consonant-vowel skeletons or segmental patterns that plausibly recur across both bags to suggest hypothetical cognacy on phonological shape alone.",40,80,0
013,star,1,none noted,"Bag A predominantly features forms centering on syllable shapes like 'da:u', 'la:u', 'ɗaw', 'di', and similar CV(V) structures, often with glides or nasal/vowel codas and initial stops or laterals. Bag B, by contrast, is dominated by forms with initial 'b', 'v', or 'f', extensive use of medial/tangled consonant clusters (e.g., 'bitu-', 'bint-', 'fetu-', etc.), and little resemblance to Bag A's patterns. No recurring shapes are apparent across the two bags.",36,80,0
014,bird,2,"Some isolated overlap in CV(V)C shapes such as 'nok', 'nuk', 'manuk', and 'man', but overall limited recurrent correspondences across multiple items.","Bag A contains many items with a -nok/-nuk/-k structure, while Bag B includes forms like 'manuk', 'ʔanuk', and 'man', showing some segmental similarity. However, outside of these, most forms have differing structures or lack consistent phonological parallels. The overlap is limited to a few forms and does not appear to be widely distributed across both lists, suggesting only weak hypothetical cognacy on shape alone.",33,80,0
