rank,concept_id,name,concepticon_gloss,n_tk,n_an,min_langs,core_pilot
1,eye,EYE,EYE,73,969,73,1
2,ear,EAR,EAR,73,968,73,1
3,fire,FIRE,FIRE,73,968,73,1
4,one,ONE,ONE,73,965,73,1
5,nose,NOSE,NOSE,73,964,73,1
6,tongue,TONGUE,TONGUE,73,964,73,1
7,eat,EAT,EAT,73,963,73,1
8,night,NIGHT,NIGHT,73,963,73,1
9,blood,BLOOD,BLOOD,73,962,73,1
10,dog,DOG,DOG,73,962,73,1
11,water,WATER,WATER,73,962,73,1
12,tooth,TOOTH,TOOTH,73,961,73,1
13,star,STAR,STAR,73,957,73,1
14,bird,BIRD,BIRD,73,956,73,1
15,fish,FISH,FISH,73,956,73,1
16,red,RED,RED,73,955,73,1
17,good,GOOD,GOOD,73,953,73,1
18,black,BLACK,BLACK,73,952,73,1
19,mouth,MOUTH,MOUTH,73,949,73,1
20,big,BIG,BIG,73,944,73,1
21,bone,BONE,BONE,73,944,73,1
22,neck,NECK,NECK,73,941,73,1
23,drink,DRINK,DRINK,73,940,73,1
24,what,WHAT,WHAT,73,938,73,1
25,skin,SKIN,SKIN,73,935,73,1
26,name,NAME,NAME,73,933,73,1
27,who,WHO,WHO,73,932,73,1
28,egg,EGG,EGG,73,931,73,1
29,earthsoil,EARTH (SOIL),EARTH (SOIL),73,929,73,1
30,root,ROOT,ROOT,73,927,73,1
31,tail,TAIL,TAIL,73,926,73,1
32,new,NEW,NEW,73,924,73,1
33,liver,LIVER,LIVER,73,919,73,1
34,come,COME,COME,73,904,73,1
35,i,I,I,73,904,73,1
36,thou,THOU,THOU,73,863,73,1
37,long,LONG,LONG,73,749,73,1
38,bite,BITE,BITE,73,738,73,1
39,small,SMALL,SMALL,73,576,73,1
40,give,GIVE,GIVE,73,157,73,1
41,knee,KNEE,KNEE,73,153,73,1
42,two,TWO,TWO,72,964,72,1
43,white,WHITE,WHITE,72,961,72,1
44,head,HEAD,HEAD,72,956,72,1
45,moon,MOON,MOON,72,956,72,1
46,sand,SAND,SAND,72,956,72,1
47,leaf,LEAF,LEAF,72,943,72,1
48,sleep,SLEEP,SLEEP,72,942,72,1
49,cold,COLD,COLD,72,936,72,1
50,flymovethroughair,FLY (MOVE THROUGH AIR),FLY (MOVE THROUGH AIR),72,924,72,1
51,dry,DRY,DRY,72,922,72,0
52,hand,HAND,HAND,72,888,72,0
53,kill,KILL,KILL,72,887,72,0
54,yellow,YELLOW,YELLOW,72,869,72,0
55,person,PERSON,PERSON,72,699,72,0
56,sun,SUN,SUN,72,176,72,0
57,heart,HEART,HEART,72,156,72,0
58,tree,TREE,TREE,72,154,72,0
59,full,FULL,FULL,72,149,72,0
60,many,MANY,MANY,72,148,72,0
61,seed,SEED,SEED,72,147,72,0
62,hornanatomy,HORN (ANATOMY),HORN (ANATOMY),73,71,71,0
63,all,ALL,ALL,71,339,71,0
64,swim,SWIM,SWIM,70,927,70,0
65,cloud,CLOUD,CLOUD,69,916,69,0
66,breast,BREAST,BREAST,69,892,69,0
67,green,GREEN,GREEN,69,812,69,0
68,foot,FOOT,FOOT,72,68,68,0
69,walk,WALK,WALK,68,866,68,0
70,knowsomething,KNOW (SOMETHING),KNOW (SOMETHING),65,631,65,0
71,ash,ASH,ASH,64,936,64,0
72,rainprecipitation,RAIN (PRECIPITATION),RAIN (PRECIPITATION),64,887,64,0
73,go,GO,GO,64,154,64,0
74,bark,BARK,BARK,63,151,63,0
75,meat,MEAT,MEAT,62,146,62,0
76,chest,CHEST,CHEST,62,74,62,0
77,rope,ROPE,ROPE,61,942,61,0
78,wind,WIND,WIND,61,940,61,0
79,laugh,LAUGH,LAUGH,61,924,61,0
80,wing,WING,WING,61,900,61,0
81,thick,THICK,THICK,61,672,61,0
82,navel,NAVEL,NAVEL,61,92,61,0
83,yesterday,YESTERDAY,YESTERDAY,61,85,61,0
84,three,THREE,THREE,60,963,60,0
85,four,FOUR,FOUR,60,960,60,0
86,vomit,VOMIT,VOMIT,60,936,60,0
87,left,LEFT,LEFT,60,934,60,0
88,wet,WET,WET,60,916,60,0
89,daynotnight,DAY (NOT NIGHT),DAY (NOT NIGHT),60,915,60,0
90,right,RIGHT,RIGHT,60,913,60,0
91,sky,SKY,SKY,60,907,60,0
92,five,FIVE,FIVE,60,902,60,0
93,where,WHERE,WHERE,60,895,60,0
94,heavy,HEAVY,HEAVY,60,891,60,0
95,cry,CRY,CRY,60,870,60,0
96,sharp,SHARP,SHARP,60,869,60,0
97,near,NEAR,NEAR,60,862,60,0
98,they,THEY,THEY,60,861,60,0
99,year,YEAR,YEAR,60,859,60,0
100,you,YOU,YOU,60,836,60,0
101,grass,GRASS,GRASS,60,812,60,0
102,flower,FLOWER,FLOWER,60,793,60,0
103,short,SHORT,SHORT,60,677,60,0
104,salt,SALT,SALT,60,549,60,0
105,seven,SEVEN,SEVEN,60,500,60,0
106,six,SIX,SIX,60,500,60,0
107,ten,TEN,TEN,60,500,60,0
108,eight,EIGHT,EIGHT,60,497,60,0
109,nine,NINE,NINE,60,492,60,0
110,bad,BAD,BAD,60,329,60,0
111,narrow,NARROW,NARROW,60,323,60,0
112,straight,STRAIGHT,STRAIGHT,60,148,60,0
113,body,BODY,BODY,60,90,60,0
114,fast,FAST,FAST,60,83,60,0
115,slow,SLOW,SLOW,60,82,60,0
116,fingernail,FINGERNAIL,FINGERNAIL,60,72,60,0
117,few,FEW,FEW,60,68,60,0
118,snake,SNAKE,SNAKE,59,890,59,0
119,forest,FOREST,FOREST,59,772,59,0
120,wife,WIFE,WIFE,59,766,59,0
121,husband,HUSBAND,HUSBAND,59,754,59,0
122,intestines,INTESTINES,INTESTINES,59,751,59,0
123,steal,STEAL,STEAL,59,745,59,0
124,shoulder,SHOULDER,SHOULDER,59,739,59,0
125,buy,BUY,BUY,59,608,59,0
126,open,OPEN,OPEN,59,583,59,0
127,fog,FOG,FOG,59,567,59,0
128,choose,CHOOSE,CHOOSE,59,424,59,0
129,hundred,HUNDRED,HUNDRED,59,410,59,0
130,leg,LEG,LEG,59,149,59,0
131,sing,SING,SING,59,149,59,0
132,wash,WASH,WASH,59,148,59,0
133,pull,PULL,PULL,59,147,59,0
134,pig,PIG,PIG,59,114,59,0
135,cave,CAVE,CAVE,59,105,59,0
136,sugarcane,SUGAR CANE,SUGAR CANE,59,88,59,0
137,morning,MORNING,MORNING,59,87,59,0
138,beard,BEARD,BEARD,59,84,59,0
139,chicken,CHICKEN,CHICKEN,59,84,59,0
140,tomorrow,TOMORROW,TOMORROW,59,84,59,0
141,tired,TIRED,TIRED,59,83,59,0
142,village,VILLAGE,VILLAGE,59,83,59,0
143,love,LOVE,LOVE,59,79,59,0
144,mother,MOTHER,MOTHER,58,957,58,0
145,father,FATHER,FATHER,58,954,58,0
146,sew,SEW,SEW,58,791,58,0
147,climb,CLIMB,CLIMB,58,623,58,0
148,weinclusive,WE (INCLUSIVE),WE (INCLUSIVE),58,263,58,0
149,olderbrother,OLDER BROTHER,OLDER BROTHER,58,96,58,0
150,snow,SNOW,SNOW,58,62,58,0
151,hear,HEAR,HEAR,57,946,57,0
152,smokeexhaust,SMOKE (EXHAUST),SMOKE (EXHAUST),57,929,57,0
153,stand,STAND,STAND,57,915,57,0
154,butterfly,BUTTERFLY,BUTTERFLY,57,88,57,0
155,woman,WOMAN,WOMAN,56,155,56,0
156,bow,BOW,BOW,56,87,56,0
157,round,ROUND,ROUND,56,71,56,0
158,sit,SIT,SIT,54,922,54,0
159,louse,LOUSE,LOUSE,54,920,54,0
160,see,SEE,SEE,52,930,52,0
161,feather,FEATHER,FEATHER,51,861,51,0
162,that,THAT,THAT,48,624,48,0
163,die,DIE,DIE,48,146,48,0
164,mountain,MOUNTAIN,MOUNTAIN,47,145,47,0
165,this,THIS,THIS,46,763,46,0
166,not,NOT,NOT,46,65,46,0
167,belly,BELLY,BELLY,45,950,45,0
168,back,BACK,BACK,45,933,45,0
169,house,HOUSE,HOUSE,45,897,45,0
170,tie,TIE,TIE,45,152,45,0
171,stone,STONE,STONE,44,956,44,0
172,spit,SPIT,SPIT,44,862,44,0
173,rotten,ROTTEN,ROTTEN,44,845,44,0
174,dust,DUST,DUST,44,834,44,0
175,correctright,CORRECT (RIGHT),CORRECT (RIGHT),44,803,44,0
176,liedown,LIE DOWN,LIE DOWN,44,757,44,0
177,how,HOW,HOW,44,742,44,0
178,blunt,BLUNT,BLUNT,44,695,44,0
179,wide,WIDE,WIDE,44,331,44,0
180,brain,BRAIN,BRAIN,44,84,44,0
181,empty,EMPTY,EMPTY,44,84,44,0
182,weak,WEAK,WEAK,44,84,44,0
183,blue,BLUE,BLUE,44,73,44,0
184,sea,SEA,SEA,43,935,43,0
185,fall,FALL,FALL,43,901,43,0
186,count,COUNT,COUNT,43,884,43,0
187,dig,DIG,DIG,43,884,43,0
188,mosquito,MOSQUITO,MOSQUITO,43,875,43,0
189,when,WHEN,WHEN,43,869,43,0
190,squeeze,SQUEEZE,SQUEEZE,43,850,43,0
191,throw,THROW,THROW,43,769,43,0
192,spider,SPIDER,SPIDER,43,741,43,0
193,dreamsomething,DREAM (SOMETHING),DREAM (SOMETHING),43,678,43,0
194,warm,WARM,WARM,43,676,43,0
195,flow,FLOW,FLOW,43,608,43,0
196,and,AND,AND,43,596,43,0
197,dirty,DIRTY,DIRTY,43,523,43,0
198,chew,CHEW,CHEW,43,460,43,0
199,needleforsewing,NEEDLE (FOR SEWING),NEEDLE (FOR SEWING),43,400,43,0
200,thousand,THOUSAND,THOUSAND,43,310,43,0
201,hideconceal,HIDE (CONCEAL),HIDE (CONCEAL),43,194,43,0
202,fight,FIGHT,FIGHT,43,147,43,0
203,push,PUSH,PUSH,43,146,43,0
204,play,PLAY,PLAY,43,144,43,0
205,road,ROAD,ROAD,43,142,43,0
206,sick,SICK,SICK,43,91,43,0
207,board,BOARD,BOARD,43,72,43,0
208,some,SOME,SOME,43,67,43,0
209,fruit,FRUIT,FRUIT,42,875,42,0
210,hunt,HUNT,HUNT,42,777,42,0
