pair_id,gloss,pan,pkd,generosity,plausible_sound_correspondences,reasoning,is_hit,permutation_id,batch_id
001_1sg,1sg,*aku,*aku,5,identical,"The PAN and PKD forms are segmentally identical, making for a perfect match.",1,0,p0
002_2sg,2sg,*-Su; *-mu (plural),*-məː,5,"PAN *-mu matching PKD *-məː, especially in the plural; vowel and nasal features correspond plausibly","Both reconstructions are very similar, particularly PAN *-mu and PKD *-məː, with only a minor difference in vowel quality and length.",1,0,p0
003_afraid_fear,afraid; fear,*talaw,*C-laːw,5,PAN *t- > PKD *C-; rest of the segments match closely,"The segmental match is extremely close, with only minor variation in the initial and otherwise highly similar sequences.",1,0,p0
005_arm,arm,(PMP *baRa; *ləŋən),*qeːn,2,"Possible *ŋ > n, similar vowel coloring","There is limited overlap: some nasality and vowel similarity, but otherwise the segmental forms diverge considerably.",0,0,p0
008_big,big,*Raya,*bəːk,1,none noted,There is no appreciable phonetic similarity between these forms.,0,0,p0
009_bird_chicken,bird; chicken,*maNuk,*malok,4,*maN- > *mal-/*na-; *k > *k,"There is a close correspondence in the onset, medial and coda segments between the forms, with some plausible nasal assimilation.",1,0,p0
010_bitter,bitter,*paqit,*CV-qəm,2,"Possible *q > q, weak overlap in overall structure","They share a medial *q and final labial/nasal, but otherwise diverge significantly with respect to syllabic structure.",0,0,p0
011_blow,blow,*səyup,*h-ju(1/2)p,2,"Possible *yu > ju, weak root similarity","Only the medial *yu ~ *ju element shows some similarity; otherwise, the forms do not align well.",0,0,p0
013_body_hair,body hair,*bulu,*qupu1l,3,"*b > q, *lu > l, nasal and liquid can weakly correspond","There is a decent match in the medial and coda positions, though the onsets differ.",0,0,p0
016_carry_on_a_pole,carry on a pole,*pasaqaN,*ʈaːp,2,"p-t (marginal), final k ~ p swap, a-vowels present","The segmental shapes are quite different; only the initial obstruents and low vowels provide marginal similarity, but overall correspondences are weak.",0,0,p0
019_chest,chest,*daSdaS; *dəbdəb; *Rusuk (ribcage/sternum),*u2k,2,"Rusuk ~ u2k/ʔɤk (k ending), otherwise diverging","Only 'Rusuk' and 'u2k' / 'ʔɤk' align in terms of the final /k/ and possible r~ʔ, but little else in form directly matches.",0,0,p0
021_cold,cold,*ramig; *giŋgiŋ,*kVniːt,2,"giŋgiŋ ~ niːt (ŋ~n, i vowel), ramig less related","There is slight similarity between the nasal/velar segments and the high front vowels, but the overall roots are quite different in shape.",0,0,p0
022_cook,cook,*[N/n]asu(k); *taNək; *-sak,*C̥V-ru(ː)ŋ,2,nasuk/taNək/sak ~ ruŋ; nasu(k) may marginally echo ruŋ via nasal and k/ŋ codas,"Possible resemblance through nasal codas and maybe voicing, but otherwise the shapes differ significantly.",0,0,p0
023_cry,cry,*Caŋis,*tVŋi(j),3,"Caŋis ~ tVŋi(j); ŋ and i present, C~t","Both forms feature a nasal+front vowel cluster, and initial consonants could potentially correspond under a generous stance.",0,0,p0
024_dark_black,dark; black,*-dəm,*(C̥V/m)-dam,5,"dəm ~ dam (direct), m-dam, C̥.dam","The segmental shapes align nearly perfectly between all forms, with consonant and vowel values essentially matching.",1,0,p0
025_deaf,deaf,*Culi,*CV-lək,3,"Culi ~ lək/nuək; medial l and final k common, otherwise initial mismatch","The medial /l/ and final /k/ are shared across forms, but the initial and vowels only partially align.",0,0,p0
026_deep,deep,*daləm,*C-alək,4,"daləm ~ alək/lɤk; l-m, l-k, sharing l and schwa/k; d-~l-","There is a clear resemblance in the middle and final segments, especially the /l/ and /k/ codas, and vowel patterns are similar.",1,0,p0
027_die,die,*(m/p-)aCay,*p-ataːy,5,"aCay ~ ataːy/taːj; C~t, ay~aːy","The shapes are highly similar, with parallel initial consonants and almost identical final syllables across all forms.",1,0,p0
029_drop_fall,drop; fall,*-tuq,*tok,5,"tuq~tok, direct t~t and k~q, vowel matches","Segmental forms match very closely: identical consonants and vowel, differing only in vowel length or a final glottal/velar stop.",1,0,p0
030_duck,duck,(PMP *ŋaRaq),*CV-bit,2,"ŋaRaq ~ pit, only vague k~t root resemblance","Little overlap except possible vague root-final correspondence (k~t); otherwise, the forms do not closely resemble each other segmentally.",0,0,p0
031_eat,eat,*ka(ʔ)ən,*(i-)kan,5,"PAN *ka(ʔ)ən / PKD *(i-)kan: Initial k-, final -an identical, medial -ʔ- could be lost.","Both forms have initial k-, and end in -an, with possible medials aligning through simple consonant loss. Very similar shapes.",1,0,p0
032_eight,eight,*walu,*C[lab]ɭuː,2,"possible *w- > *C-, *l > *ɭ, *u matches","Only the final vowel matches directly; initial *w- does not closely match initial C[lab]-, but both are labial; medial segments do not align, giving low similarity.",0,0,p0
033_excrement,excrement,*Caqi; (PMP *taqay),*CV-q[i/aːj],4,"*C- > *CV-, *-q- conserved, *-i/-aj endings align","Consonantal template and final segment (*qi, *qay / *q[i/aːj]) are reasonably close under a generous assumption, with recurrent q-initial/medial elements.",1,0,p0
034_eye,eye,*maCa,*m[a/ə]ʈaː,3,"*ma- > *m[a/ə]-, *Ca / *ʈaː (possible coronal affiliation)","Initial *ma- aligns with *m[a/ə]-, but the second syllable matches only loosely with *Ca and *ʈaː showing both coronal vowels/consonants.",0,0,p0
035_fart,fart,*qətut,*k[a/ə]tu2t,5,"*q- > *k-, *ə > *a/ə, *tut > *tu2t",Segmental structure matches throughout with conservative correspondences: CVCVC with all major consonants and vowels aligned.,1,0,p0
036_fingernail,fingernail,*kuSkuS,*CV-lep,2,"no clear segmental alignment, possible *S > *l correspondence",The forms diverge in both consonant structure and vowel sequence; only possible hypothetical coronal correspondence.,0,0,p0
037_fire,fire,*Sapuy,*apuy,4,*Sapuy > *apuy (s-initial possibly lost; remainder identical),"Removing initial *S- leaves *apuy, which is identical; only loss of initial consonant needed for full alignment.",1,0,p0
038_five,five,*lima,*ɭVmaː,5,"*lima / *ɭVmaː: *l > *ɭ, *ma conserved, initial vowel and length could overlap","Nearly perfect alignment with only a minor difference in the quality of initial liquid and vowel, both of which are plausible variants.",1,0,p0
040_flow,flow,*qaluR; *qaNud; (PMP *qaRus; *qaliR; *saliR),C̥V-luy,3,"Syllabic *CV-l- > *l-, *uR~uy > *uj, initial C̥V- could correspond to *qalu~qali,","Medial and coda sequence align, but initial clusters and intervening segments are only partially similar.",0,0,p0
041_foot1,foot1,*[w/q]aqay,*tiːn,1,none noted,"Segmental structure and every consonant and vowel are completely different, with no plausible path to connection.",0,0,p0
042_foot2,foot2,*[w/q]aqay,*kok,1,none noted,"Aside from both being short and consonant-vowel structures, there are no overt similarities in sound sequence.",0,0,p0
044_fruit,fruit,*buaq,*CV-maːk,3,"*b- > *m- (both voiced labials), *uaq~aːk retains the final k-component","Initial labial and final velar are similar, but the vowel sequence is only loosely similar and the initial voicing differs.",0,0,p0
045_full,full,*pəNuq,*C[lab]V-tiːk,2,"*p- > *t-, *Nu > *tiː, but little else matches","Possible underlying correspondence between initial stops and an open syllable structure, but specific consonant and vowel segments are mostly divergent.",0,0,p0
046_hand,hand,*qalima,*C-iməː,2,"Initial C- could perhaps match PAN *q-, but medial -l- vs. -m- mismatch; final -a vs. -əː.","Medial and final segments are not well aligned, though initial segments have a very distant plausibility. Overall segmental shape is not close.",0,0,p0
048_head,head,*quluh,*kuɭuː,4,PAN *q-/*k- ~ PKD *k-; medial -l-; final -uh ~ -uː.,"Onset and medial clusters fit well; both have rounded finals. Slight difference in medial -l- vs. -ɭ-, but this is within generous comparison. Vocalism is also similar.",1,0,p0
049_hold_grab,hold; grab,*-[g/k]əm,*N-kamᴬ,5,PAN *g/k- ~ PKD *k-; coda -m.,Initial and coda segments are almost identical in possible alternants. Nasal prefix N- and medial vowels are compatible.,1,0,p0
050_hole,hole,*buhaŋ; *kalih; *lubaŋ (burial pit),*ɟoːŋ,2,Vowel nuclei and final -ŋ shared in some alternates.,"Only *lubaŋ shares a similar final, but otherwise segmental shape varies greatly between sets, especially with divergent onsets.",0,0,p0
055_leaf,leaf,*waSaw,*bəː,2,"PAN *wa- ~ PKD *bə-, possibly analogous, coda -w/ɯ̯-.","Some resemblance in final on-glide, but the PAN initial is not close; major differences in overall segmental shape.",0,0,p0
059_lick,lick,*dilaq,*liːm,2,"Medial *l and high vowel may be analogous, but rest remote.","Some partial similarity in vowels/consonants but overall configuration, onset, and coda do not align well.",0,0,p0
060_liver,liver,*qaCay,*tap,2,"Possible matching vowel (a) and coda (p), but onsets diverge.","While codas and vowels are remotely similar, onsets do not match and medials diverge; shapes are overall not close.",0,0,p0
061_loom_weave,loom; weave,*qatip (part of loom); t[i/ə]nun (weave),*uʈəːk,2,Possible correspondence in medial *t/ʈ/tr and coda *k.,"Marginal similarity in the main consonant clusters and final segment, but initial and overall syllable structure are quite mismatched.",0,0,p0
062_louse,louse,*kuCu,*C-uʈuː,4,Shared initial velar and medial/labial segments (k~C; u; C; u~u; final similarity in -Cu~uʈu),"The structures are both disyllabic with high rounded vowels followed by similar final syllables; the match between *kuCu and *C-uʈuː is suggestive in shape, especially under hypothetical correspondences.",1,0,p0
064_moon,moon,*bulaN,*buɭaːl,5,bu~bu; laN~laːl clear correspondences; matching segment order.,"The segments are strikingly similar with only minor differences in the coda, and the syllabic structure closely matches overall.",1,0,p0
