pair_id	gloss	pan	pkd	pt	pat	chinese_flag	notes	branch_attestation_count	attested_branches
001_1sg	1sg	*aku	*aku	*kuːᴬ	*akuː	N		6	PT,PH,POB,PK,PKS,LAK
002_2sg	2sg	*-Su; *-mu (plural)	*-məː	*maɯ̯ᴬ		N		6	PT,PH,POB,PK,PKS,LAK
003_afraid_fear	afraid; fear	*talaw	*C-laːw	*ʰlaːw	*taɭaːw	N		5	PT,PH,PK,PKS,LAK
005_arm	arm	(PMP *baRa; *ləŋən)	*qeːn	*qeːnᴬ		N		5	PT,PH,POB,PKS,LAK
008_big	big	*Raya	*bəːk	*ɓɯːkᴰ		N		6	PT,PH,POB,PK,PKS,LAK
009_bird_chicken	bird; chicken	*maNuk	*malok	*C̬.nokᴰ	*malok	N		6	PT,PH,POB,PK,PKS,LAK
010_bitter	bitter	*paqit	*CV-qəm	*C̬.qɤmᴬ		N		6	PT,PH,POB,PK,PKS,LAK
011_blow	blow	*səyup	*h-ju(1/2)p	*powᴮ	*səyup	N		5	PT,POB,PK,PKS,LAK
013_body_hair	body hair	*bulu	*qupu1l	*q.pɯlᴬ		N		6	PT,PH,POB,PK,PKS,LAK
016_carry_on_a_pole	carry on a pole	*pasaqaN	*ʈaːp			N		3	PH,POB,PKS
019_chest	chest	*daSdaS; *dəbdəb; *Rusuk (ribcage/sternum)	*u2k	*ʔɤkᴰ		N		5	PT,PH,POB,PK,PKS
021_cold	cold	*ramig; *giŋgiŋ	*kVniːt			N		4	PH,POB,PKS,LAK
022_cook	cook	*[N/n]asu(k); *taNək; *-sak	*C̥V-ru(ː)ŋ	*ʰruŋᴬ		N		4	PT,PH,POB,PKS
023_cry	cry	*Caŋis	*tVŋi(j)	*t.hajꟲ	*ʈaŋis	N		4	PT,POB,PKS,LAK
024_dark_black	dark; black	*-dəm	*(C̥V/m)-dam	*C̥.damᴬ	*-dam	N		6	PT,PH,POB,PK,PKS,LAK
025_deaf	deaf	*Culi	*CV-lək	*ʰnuəkᴰ		N		6	PT,PH,POB,PK,PKS,LAK
