concept_id,gloss,generosity,is_nonhit_control,tk_segment,an_segment,context,support,confidence
bedeadordie,BE DEAD OR DIE,4,0,t,t,onset,"tai: ta:i, tha:i (TK); matay, mati, m.a.t.j (AN)",5
bedeadordie,BE DEAD OR DIE,4,0,ai,ay,nucleus/rime,"ta:i (TK); matay, matey, mamatay (AN)",4
bedeadordie,BE DEAD OR DIE,4,0,a,a,vowel nucleus,"plei, ta:i (TK); matay, matey, m.a.t.i (AN)",4
bedeadordie,BE DEAD OR DIE,4,0,th,t,onset (aspirated/unaspirated),"tha:i (TK); matay, mati (AN)",3
bedeadordie,BE DEAD OR DIE,4,0,h,,"onset, possibly lost in AN","ha:i (TK); (no h in core AN forms but present in some Formosan: mahāre, mahāre)",2
bedeadordie,BE DEAD OR DIE,4,0,m-,m-,"prefix, verb marker",hlai: m-atsai (AN); widespread m- in AN verbs,5
bite,BITE,4,0,k,k/g,onset,"TK ka:p (Tai), kit (Kam-Sui), kat (Lakkia, Tai); AN kat (Formosan), kagat (Western MP), kádat (WMP), kalat (Formosan), kɨǥɨt (WMP)",5
bite,BITE,4,0,t,t,coda/final,"TK kat, kit, ȶit, kat̪ (Tai, Kam-Sui, Lakkia); AN kat, kagat, kɨǥɨt, kalat",5
bite,BITE,4,0,a,a,nucleus (vowel),"TK kat, ka:p, hap (Tai); AN kat, kagat, kalat, kádat (WMP, Formosan, SWNG)",4
bite,BITE,4,0,kh,k,onset (aspiration),"TK khap, khop (Tai); AN kagat, kalat, kɨǥɨt (WMP)",3
bite,BITE,4,0,p,t,coda (TK) vs. coda (AN),"TK khap, kap, hap, xop (Tai); AN kat, kagat, kɨǥɨt, kalat (WMP, Formosan)",3
blowofwind,BLOW (OF WIND),4,0,p,p,"onset, coda","TK: 'pau', 'piu', 'paw', 'hip', 'zəp', 'hup'; AN: 'siup', 'miʔiyuf', 'huyup', 'ju(p)', 'huyóp', 'ma-ʔiup', 'sup', 'puyot'",5
blowofwind,BLOW (OF WIND),4,0,w,u,medial glide vs. high vowel,"TK: 'piu', 'pau', 'paw', 'cwi'; AN: 'siup', 'sup', 'huyup', 'iup', 'ju(p)'",4
blowofwind,BLOW (OF WIND),4,0,h,h,onset,"TK: 'hip', 'hup'; AN: 'huyup', 'huyóp', 'h.a.v.i'",3
